ID,date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
1,1871-03-27,Scotland,England,1,0,1871 Scotland v England International,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
2,1872-02-05,England,Scotland,2,1,1871–72 Home Nations International,The Oval,London,England,False,False,home_team,,,,,,,,,,,,
4,1874-02-23,England,Scotland,1,0,1873–74 Home Nations International,The Oval,London,England,False,False,home_team,,,,,,,,,,,,
5,1875-02-15,England,Ireland,2,0,1874–75 Home Nations rugby union matches,The Oval,London,England,False,False,home_team,,,,,,,,,,,,
6,1875-03-08,Scotland,England,0,0,1874–75 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False,,,,,,,,,,,,,
7,1875-12-13,Ireland,England,0,1,1875–76 Home Nations rugby union matches,Rathmines,Dublin,Ireland,False,False,away_team,03969,Winter,,-0.2,8.6,0.0,,,,,,
8,1876-03-06,England,Scotland,1,0,1875–76 Home Nations International,The Oval,London,England,False,False,home_team,,,,,,,,,,,,
9,1877-02-05,England,Ireland,2,0,1876–77 Home Nations rugby union matches,The Oval,London,England,False,False,home_team,,,,,,,,,,,,
10,1877-02-19,Ireland,Scotland,0,6,1876–77 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team,,,,,,,,,,,,
11,1877-03-05,Scotland,England,1,0,1876–77 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
12,1878-03-04,England,Scotland,0,0,1877–78 Home Nations International,The Oval,London,England,False,False,,,,,,,,,,,,,
13,1878-03-11,Ireland,England,0,2,1877–78 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Spring,,6.1,12.2,2.5,,,,,,
14,1879-02-17,Ireland,Scotland,0,2,1878–79 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team,,,,,,,,,,,,
15,1879-03-10,Scotland,England,1,1,1878–79 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False,,,,,,,,,,,,,
16,1879-03-24,England,Ireland,3,0,1878–79 Home Nations rugby union matches,The Oval,London,England,False,False,home_team,,,,,,,,,,,,
17,1880-01-30,Ireland,England,0,1,1879–80 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,8.0,10.4,2.9,,,,,,
21,1881-02-19,Ireland,Scotland,1,0,1880–81 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False,home_team,,,,,,,,,,,,
23,1881-03-19,Scotland,England,1,1,1880–81 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False,,,,,,,,,,,,,
24,1882-01-28,Ireland,Wales,0,2,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,2.1,11.3,0.4,,,,,,
25,1882-02-06,Ireland,England,0,0,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False,,03969,Winter,,2.1,7.9,0.0,,,,,,
29,1883-01-08,Scotland,Wales,3,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
31,1883-02-17,Ireland,Scotland,0,1,1883 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team,,,,,,,,,,,,
32,1883-03-03,Scotland,England,0,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
35,1884-02-04,Ireland,England,0,1,1884 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,7.4,10.3,0.0,,,,,,
42,1885-03-07,Scotland,Ireland,1,0,1885 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
45,1886-02-06,Ireland,England,0,1,1886 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,0.2,3.2,6.7,,,,,,
46,1886-02-20,Scotland,Ireland,4,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
47,1886-03-13,Scotland,England,0,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,,,,,,,,,,,,,
49,1887-02-05,Ireland,England,2,0,1887 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,-0.1,10.3,0.5,,,,,,
50,1887-02-19,Ireland,Scotland,0,2,1887 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team,,,,,,,,,,,,
51,1887-02-26,Scotland,Wales,4,0,1887 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
55,1888-03-03,Ireland,Wales,2,0,1888 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,,0.3,4.1,0.1,,,,,,
56,1888-03-10,Scotland,Ireland,1,0,1888 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
57,1889-02-02,Scotland,Wales,1,0,1889 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
58,1889-02-16,Ireland,Scotland,0,1,1889 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team,,,,,,,,,,,,
62,1890-02-22,Scotland,Ireland,5,0,1890 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
63,1890-03-01,Ireland,Wales,3,3,1890 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,,03969,Spring,,0.0,5.5,0.8,,,,,,
64,1890-03-01,Scotland,England,0,6,1890 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
67,1891-02-07,Scotland,Wales,15,0,1891 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
68,1891-02-07,Ireland,England,0,9,1891 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,5.6,8.0,0.3,,,,,,
69,1891-02-21,Ireland,Scotland,0,14,1891 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team,,,,,,,,,,,,
71,1891-03-07,England,Scotland,3,9,1891 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team,,,,,,,,,,,,
75,1892-02-20,Scotland,Ireland,2,0,1892 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
76,1892-03-05,Ireland,Wales,9,0,1892 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,,-0.4,3.4,0.0,,,,,,
77,1892-03-06,Scotland,England,0,5,1892 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
79,1893-02-04,Scotland,Wales,0,9,1893 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
80,1893-02-04,Ireland,England,0,4,1893 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,3.7,10.4,0.0,,,,,,
81,1893-02-18,Ireland,Scotland,0,0,1893 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,,,,,,,,,,,,,
87,1894-02-24,Ireland,Scotland,5,0,1894 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,1.5,6.4,4.6,,,,,,
88,1894-03-10,Ireland,Wales,3,0,1894 Home Nations Championship,Ulster Cricket Ground,Belfast,Ireland,False,False,home_team,,,,,,,,,,,,
89,1894-03-17,Scotland,England,6,0,1894 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
91,1895-01-26,Scotland,Wales,5,4,1895 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
92,1895-02-02,Ireland,England,3,6,1895 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,0.7,3.5,1.8,,,,,,
93,1895-03-02,Scotland,Ireland,6,0,1895 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
94,1895-03-09,England,Scotland,3,6,1895 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team,,,,,,,,,,,,
99,1896-02-15,Ireland,Scotland,0,0,1896 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,,03969,Winter,,1.0,5.4,0.0,,,,,,
101,1896-03-17,Ireland,Wales,8,4,1896 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,,2.3,10.6,14.5,,,,,,
103,1897-02-06,Ireland,England,13,9,1897 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,1.6,6.3,1.0,,,,,,
104,1897-02-20,Scotland,Ireland,8,3,1897 Home Nations Championship,Powderhall Stadium,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
106,1898-02-05,England,Ireland,6,9,1898 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team,,,,,,,,,,,,
107,1898-02-19,Ireland,Scotland,0,8,1898 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,-0.1,6.3,0.8,,,,,,
108,1898-03-12,Scotland,England,3,3,1898 Home Nations Championship,Powderhall,Edinburgh,Scotland,False,False,,,,,,,,,,,,,
112,1899-02-04,Ireland,England,6,0,1899 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,-0.3,6.3,0.5,,,,,,
113,1899-02-18,Scotland,Ireland,3,9,1899 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
114,1899-03-04,Scotland,Wales,21,10,1899 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
119,1900-02-03,England,Ireland,15,4,1900 Home Nations Championship,Athletic Ground,Richmond,England,False,False,home_team,,,,,,,,,,,,
120,1900-02-24,Ireland,Scotland,0,0,1900 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,,03969,Winter,,6.1,13.6,0.0,,,,,,
121,1900-03-10,Scotland,England,0,0,1900 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,,,,,,,,,,,,,
124,1901-02-09,Scotland,Wales,18,8,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
125,1901-02-09,Ireland,England,10,6,1901 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,3.6,6.7,0.3,,,,,,
126,1901-02-23,Scotland,Ireland,9,5,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
132,1902-02-22,Ireland,Scotland,5,0,1902 Home Nations Championship,Balmoral Showgrounds,Belfast,Ireland,False,False,home_team,,,,,,,,,,,,
133,1902-03-06,Ireland,Wales,0,15,1902 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Spring,,0.0,11.0,0.0,,,,,,
134,1902-03-15,Scotland,England,3,6,1902 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
