ID,date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner
1,1871-03-27,Scotland,England,1,0,1871 Scotland v England International,Raeburn Place,Edinburgh,Scotland,False,False,home_team
2,1872-02-05,England,Scotland,2,1,1871–72 Home Nations International,The Oval,London,England,False,False,home_team
3,1873-03-03,Scotland,England,0,0,1872–73 Home Nations International,West of Scotland F.C.,Glasgow,Scotland,False,False,
4,1874-02-23,England,Scotland,1,0,1873–74 Home Nations International,The Oval,London,England,False,False,home_team
5,1875-02-15,England,Ireland,2,0,1874–75 Home Nations rugby union matches,The Oval,London,England,False,False,home_team
6,1875-03-08,Scotland,England,0,0,1874–75 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False,
7,1875-12-13,Ireland,England,0,1,1875–76 Home Nations rugby union matches,Rathmines,Dublin,Ireland,False,False,away_team
8,1876-03-06,England,Scotland,1,0,1875–76 Home Nations International,The Oval,London,England,False,False,home_team
9,1877-02-05,England,Ireland,2,0,1876–77 Home Nations rugby union matches,The Oval,London,England,False,False,home_team
10,1877-02-19,Ireland,Scotland,0,6,1876–77 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team
11,1877-03-05,Scotland,England,1,0,1876–77 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False,home_team
12,1878-03-04,England,Scotland,0,0,1877–78 Home Nations International,The Oval,London,England,False,False,
13,1878-03-11,Ireland,England,0,2,1877–78 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False,away_team
14,1879-02-17,Ireland,Scotland,0,2,1878–79 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team
15,1879-03-10,Scotland,England,1,1,1878–79 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False,
16,1879-03-24,England,Ireland,3,0,1878–79 Home Nations rugby union matches,The Oval,London,England,False,False,home_team
17,1880-01-30,Ireland,England,0,1,1879–80 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False,away_team
18,1880-02-14,Scotland,Ireland,3,0,1879–80 Home Nations rugby union matches,Hamilton Crescent,Glasgow,Scotland,False,False,home_team
19,1880-02-28,England,Scotland,2,1,1879–80 Home Nations International,Whalley Range,Manchester,England,False,False,home_team
20,1881-02-10,England,Ireland,2,0,1880–81 Home Nations rugby union matches,Whalley Range,Manchester,England,False,False,home_team
21,1881-02-19,Ireland,Scotland,1,0,1880–81 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False,home_team
22,1881-02-19,England,Wales,8,0,Wales tour,Richardson's Field,Blackheath,England,False,False,home_team
23,1881-03-19,Scotland,England,1,1,1880–81 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False,
24,1882-01-28,Ireland,Wales,0,2,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False,away_team
25,1882-02-06,Ireland,England,0,0,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False,
26,1882-02-18,Scotland,Ireland,1,0,1881–82 Home Nations rugby union matches,Hamilton Crescent,Glasgow,Scotland,False,False,home_team
27,1882-03-04,England,Scotland,0,1,1881–82 Home Nations International,Whalley Range,Manchester,England,False,False,away_team
28,1882-12-16,Wales,England,0,2,1883 Home Nations Championship,St Helen's,Swansea,Wales,False,False,away_team
29,1883-01-08,Scotland,Wales,3,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
30,1883-02-10,England,Ireland,1,0,1883 Home Nations Championship,Whalley Range,Manchester,England,False,False,home_team
31,1883-02-17,Ireland,Scotland,0,1,1883 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team
32,1883-03-03,Scotland,England,0,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,away_team
33,1884-01-05,England,Wales,2,1,1884 Home Nations Championship,Cardigan Fields,Leeds,England,False,False,home_team
34,1884-01-12,Wales,Scotland,0,1,1884 Home Nations Championship,Rodney Parade,Newport,Wales,False,False,away_team
35,1884-02-04,Ireland,England,0,1,1884 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
36,1884-02-16,Scotland,Ireland,2,0,1884 Home Nations Championship,Hamilton Crescent,Glasgow,Scotland,False,False,home_team
37,1884-03-01,England,Scotland,1,0,1884 Home Nations Championship,Rectory Field,Blackheath,England,False,False,home_team
38,1884-04-12,Wales,Ireland,1,0,1884 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
39,1885-01-03,Wales,England,1,2,1885 Home Nations Championship,St Helen's,Swansea,Wales,False,False,away_team
40,1885-01-10,Scotland,Wales,0,0,1885 Home Nations Championship,Hamilton Crescent,Glasgow,Scotland,False,False,
41,1885-02-07,England,Ireland,1,0,1885 Home Nations Championship,Whalley Range,Manchester,England,False,False,home_team
42,1885-03-07,Scotland,Ireland,1,0,1885 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
43,1886-01-02,England,Wales,2,1,1886 Home Nations Championship,Rectory Field,Blackheath,England,False,False,home_team
44,1886-01-09,Wales,Scotland,0,2,1886 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,away_team
45,1886-02-06,Ireland,England,0,1,1886 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
46,1886-02-20,Scotland,Ireland,4,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
47,1886-03-13,Scotland,England,0,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,
48,1887-01-08,Wales,England,0,0,1887 Home Nations Championship,Stradey Park,Llanelli,Wales,False,False,
49,1887-02-05,Ireland,England,2,0,1887 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
50,1887-02-19,Ireland,Scotland,0,2,1887 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team
51,1887-02-26,Scotland,Wales,4,0,1887 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
52,1887-03-05,England,Scotland,0,0,1887 Home Nations Championship,Whalley Range,Manchester,England,False,False,
53,1887-03-12,Wales,Ireland,0,1,1887 Home Nations Championship,Birkenhead Park,Birkenhead,England,True,False,away_team
54,1888-02-04,Wales,Scotland,1,0,1888 Home Nations Championship,Rodney Parade,Newport,Wales,False,False,home_team
55,1888-03-03,Ireland,Wales,2,0,1888 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
56,1888-03-10,Scotland,Ireland,1,0,1888 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
57,1889-02-02,Scotland,Wales,1,0,1889 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
58,1889-02-16,Ireland,Scotland,0,1,1889 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team
59,1889-03-02,Wales,Ireland,0,1,1889 Home Nations Championship,St Helens,Swansea,Wales,False,False,away_team
60,1890-02-01,Wales,Scotland,2,8,1890 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,away_team
61,1890-02-15,England,Wales,0,1,1890 Home Nations Championship,Crown Flatt,Dewsbury,England,False,False,away_team
62,1890-02-22,Scotland,Ireland,5,0,1890 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
63,1890-03-01,Ireland,Wales,3,3,1890 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,
64,1890-03-01,Scotland,England,0,6,1890 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,away_team
65,1890-03-15,England,Ireland,3,0,1890 Home Nations Championship,Rectory Field,Blackheath,England,False,False,home_team
66,1891-01-03,Wales,England,3,7,1891 Home Nations Championship,Rodney Parade,Newport,Wales,False,False,away_team
67,1891-02-07,Scotland,Wales,15,0,1891 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
68,1891-02-07,Ireland,England,0,9,1891 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
69,1891-02-21,Ireland,Scotland,0,14,1891 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,away_team
70,1891-03-07,Wales,Ireland,6,4,1891 Home Nations Championship,Stradey Park,Llanelli,Wales,False,False,home_team
71,1891-03-07,England,Scotland,3,9,1891 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team
72,1892-01-02,England,Wales,17,0,1892 Home Nations Championship,Rectory Field,Blackheath,England,False,False,home_team
73,1892-02-06,Wales,Scotland,2,7,1892 Home Nations Championship,St Helen's,Swansea,Wales,False,False,away_team
74,1892-02-06,England,Ireland,7,0,1892 Home Nations Championship,Whalley Range,Manchester,England,False,False,home_team
75,1892-02-20,Scotland,Ireland,2,0,1892 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
76,1892-03-05,Ireland,Wales,9,0,1892 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
77,1892-03-06,Scotland,England,0,5,1892 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,away_team
78,1893-01-07,Wales,England,12,11,1893 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
79,1893-02-04,Scotland,Wales,0,9,1893 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,away_team
80,1893-02-04,Ireland,England,0,4,1893 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
81,1893-02-18,Ireland,Scotland,0,0,1893 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False,
82,1893-03-04,England,Scotland,0,8,1893 Home Nations Championship,Headingley,Leeds,England,False,False,away_team
83,1893-03-11,Wales,Ireland,2,0,1893 Home Nations Championship,Stradey Park,Llanelli,Wales,False,False,home_team
84,1894-01-04,England,Wales,24,3,1894 Home Nations Championship,Upper Park,Birkenhead,England,False,False,home_team
85,1894-02-03,England,Ireland,5,7,1894 Home Nations Championship,Rectory Field,Blackheath,England,False,False,away_team
86,1894-02-03,Wales,Scotland,7,0,1894 Home Nations Championship,Rodney Parade,Newport,Wales,False,False,home_team
87,1894-02-24,Ireland,Scotland,5,0,1894 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
88,1894-03-10,Ireland,Wales,3,0,1894 Home Nations Championship,Ulster Cricket Ground,Belfast,Ireland,False,False,home_team
89,1894-03-17,Scotland,England,6,0,1894 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
90,1895-01-05,Wales,England,6,14,1895 Home Nations Championship,St Helen's,Swansea,Wales,False,False,away_team
91,1895-01-26,Scotland,Wales,5,4,1895 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
92,1895-02-02,Ireland,England,3,6,1895 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
93,1895-03-02,Scotland,Ireland,6,0,1895 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False,home_team
94,1895-03-09,England,Scotland,3,6,1895 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team
95,1895-03-16,Wales,Ireland,5,3,1895 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
96,1896-01-04,England,Wales,25,0,1896 Home Nations Championship,Rectory Field,Blackheath,England,False,False,home_team
97,1896-01-25,Wales,Scotland,6,0,1896 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
98,1896-02-01,England,Ireland,4,10,1896 Home Nations Championship,Meanwood Road,Leeds,England,False,False,away_team
